"Rakuten Catalog","Rakuten Catalog"
"Manage Rakuten Categories","Rakuten Kategorien managen"
"Categories will be synchronized on next run.","Kategorien werden im nächsten Lauf synchronisiert"
"Rakuten Synchronization","Rakuten Synchronisierung"
"Rakuten Product Mapping","Rakuten Produkte-Mapping"
"Mappings were successfully saved","Mapping wurde erfolgreich gespeichert"
"These values are too long. Please reduce them to 20 chars max: %s","Dieser Wert ist zu lange, bitte reduzieren Sie diesen auf 20 Buchstaben max: %s"
"Variant definitions were successfully saved","Varianten Definitionen wurden erfolgreich gespeichert"
"Category list was successfully fetched from your Rakuten account.","Die Kategorie-Liste wurde erfolgreich von Ihrem Rakuten Shop abgeholt"
"All categories were successfully synchronized with your Rakuten account.","Alle Kategorien wurden erfolgreich mit Ihrem Rakuten Shop synchronisiert"
"Synchronization started.","Synchronisation gestartet."
"Rakuten Orders","Rakuten Bestellungen"
"Manage Rakuten Orders","Rakuten Bestellungen managen"
"Orders were successfully fetched from your Rakuten account.","Bestellungen wruden erfolgreich von Ihrem Rakuten Shop abgeholt"
"Invalid Order ID.","Ungültige Order ID."
"Order was successfully synchronized.","Bestellung wurde erfolgreich synchronisiert"
"Orders were successfully synchronized.","Bestellungen wurden erfolgreich synchronisiert"
"Can not find order in magento. Try to sync.","Kann keine Bestellungen in Magento finden. Probieren Sie eine Synchronisierung."
"Manage Rakuten Products","Rakuten Produkte managen"
"Please select product(s).","Bitte wählen Sie Produkt(e)"
"Total of %d product(s) will be synchronized.","Es werden in Summe %d Produkt(e) synchronisiert"
"Total of %d product(s) will be removed.","Es werden in Summe %d Produkt(e) entfernt"
"Product was successfully synchronized to Rakuten [%s].","Produkt wurde erfolgreich mit Rakuten synchronisiert [%s]"
"Product was successfully removed from Rakuten [%s].","Produkt wurde erfolgreich von Rakuten entfernt [%s]"
"Product does not exist in your Rakuten account [%s].","Produkt existiert nicht in Ihrem Rakuten Shop [%s]"
"Order #","Bestellung #"
"Magento Order #","Magento Bestellung #"
"Purchased On","Gekauft am"
"Customer Name","Kundenname"
"Customer E-mail","Kunden E-Mail"
"Delivery Name","Liefername"
"Total","Gesamt"
"Shipping","Versand"
"Status","Status"
"Invoice No","Rechnungs Nr"
"Sync Action","Sync-Aktion"
"Import to Magento","Nach Magento importieren"
"View Action","Aktion anzeigen"
"View Magento Order","Magento Bestellung anzeigen"
"Export","Exportieren"
"Sync State to Rakuten","Status zu Rakuten synchronisieren"
"Synchronize orders to magento","Bestellungen nach Magento synchronisieren"
"Export order status to Rakuten","Bestellstati nach Rakuten exportieren"
"Synchronize New Orders","Neue Bestellungen synchronisieren"
"Update orders list from Rakuten","Bestellliste aus Rakuten updaten"
"Save Mapping","Mapping speichern"
"Get Categories List From Rakuten","Kategorielisten aus Rakuten abholen"
"Synchronize Categories","Kategorien synchronisieren"
"Synchronization process is running. %s passed.","Synchronisierungsprozess läuft, %s erledigt"
"Clear synchronization lock","Synchronisierungs-Lock entfernen"
"Never","Nie"
"Not yet planned","Noch nicht geplant"
"Root","Root"
"Synchronize","Synchronisieren"
"ID","ID"
"Name","Name"
"Name in %s","Name in %s"
"Type","Typ"
"SKU","SKU"
"Price","Preis"
"Qty","Anzahl"
"Sync","Sync"
"Action","Aktion"
"Sync now","Jetzt synchronisieren"
"Notify Low Stock RSS","Gringen Lagerstand RSS"
"Synchronize to Rakuten","Zu Rakuten synchronisieren"
"Remove from Rakuten","Von Rakuten entfernen"
"mageSHOPS Rakuten Connector","mageSHOPS Rakuten Connector"
"Rakuten.de","Rakuten.de"
"mageSHOPS.com Rakuten Version","mageSHOPS.com Rakuten Version"
"Rakuten API Key","Rakuten API Schlüssel"
