"Marketplace","Marketplace"
"Category associations", "Category associations"
"General", "General"
"Feed", "Feed"
"Orders", "Orders"
"No error","No error"
"Get orders from marketplace","Get orders from marketplace"
"Order already imported","Order already imported"
"Invalid product","Invalid product"
"Update marketplace stock","Update marketplace stock"
"Get orders from %s","Get orders from %s"
"Orders from %s have been imported in Magento","Orders from %s have been imported in Magento"
"Stocks have been exported","Stocks have been exported"
"Order n° %s already exists","Order n° %s already exists"
"Order n° %s has been successfully imported","Order n° %s has been successfully imported"
"An error occured during order importation  (order n° %s)","An error occured during order importation  (order n° %s)"
"Exported file has been saved in %s","Exported file has been saved in %s"
"History file %s has been created in directory %s","History file %s has been created in directory %s"
"Can't open file %s","Can't open file %s"
"Error uploading file ""%s"" on remote server","Error uploading file ""%s"" on remote server"
"The file %s has been successfully uploaded on remote server","The file %s has been successfully uploaded on remote server"
"Unable to open order file using %s webservice","Unable to open order file using %s webservice"
"Products have been successfully sent to Google Merchant Center","Products have been successfully sent to Google Merchant Center"
"Import %s sales order","Import %s sales order"
"Market Place - %s","Market Place - %s"
"File","File"
"Products to export","Products to export"
"Export %s tracking numbers","Export %s tracking numbers"
"Save","Save"
"Logs","Logs"
"Website name", "Website name"
"Website description", "Website description"
"Default shipment method", "Default shipment method"
"Default delay", "Default delay"
"Taxes", "Taxes"
"Margin warning level", "Margin warning level"
"Email bug report", "Email bug report"
"EAN Attribute Code", "EAN Attribute Code"
"Default payment method", "Default payment method"
"Default Store ID", "Default Store ID"
"Default Currency", "Default Currency"
"Debug mode", "Debug mode"
"Category depth for associations", "Category depth for associations"
"Root category", "Root category"
"Max product updated each time", "Max product updated each time"
"Generate invoice when a new order is imported", "Generate invoice when a new order is imported"
"Enable CRON export", "Enable CRON export"
"Max", "Max"
"Manufacturer attribute name", "Manufacturer attribute name"
"Products to export", "Products to export"
"Required Fields", "Required Fields"
"PRODUCT CREATION", "PRODUCT CREATION"
"Check product creation (CRON)", "Check product creation (CRON)"
"Request listing products", "Request listing products"
"Show listing products", "Show listing products"
"PRODUCT UPDATE", "PRODUCT UPDATE"
"Export stock & price (CRON)", "Export stock & price (CRON)"
"Get inventory feed", "Get inventory feed"
"Send inventory feed", "Send inventory feed"
"Get price feed", "Get price feed"
"Send price feed", "Send price feed"
"Get image feed", "Get image feed"
"Send image feed", "Send image feed"
"MANAGE ORDERS", "MANAGE ORDERS"
"Import orders (CRON)", "Import orders (CRON)"
"MANAGE TRACKINGS", "MANAGE TRACKINGS"
"Send tracking (CRON)", "Send tracking (CRON)"
"Get shipping confirmation feed", "Get shipping confirmation feed"
"Send tracking", "Send tracking"
"Request actionable order data", "Request actionable order data"
"MANAGE REPORT", "MANAGE REPORT"
"Get it !", "Get it !"
"Check product creation (CRON)", "Check product creation (CRON)"
"Generate stock file", "Generate stock file"
"Update stock", "Update stock"
"Generate media file", "Generate media file"
"Request checked orders", "Request checked orders"
"Get orders to update", "Get orders to update"
"Build tracking file", "Build tracking file"
"Send tracking", "Send tracking"
"Export", "Export"
"Download file", "Download file"
"Category associations", "Category associations"
"Not associated", "Not associated"
"Associated", "Associated"
"Statistics", "Statistics"
"Orders", "Orders"
"Revenue", "Revenue"
"Tax", "Tax"
"Shipping", "Shipping"
"Quantity", "Quantity"
"Create export file","Create export file"
"Price excl tax","Prix HT"
"Manual import","Manual import"
"Update stock and price","Update stock and price"*
"Update image","Update image"
"Execution time","Execution time"
"No product to export","No product to export"
"Get feed submission result","Get feed submission result"
"Update stock & price","Update stock & price"
"Price coefficient","Price coefficient"
"Margin min","Margin min"
"Display feed history","Display feed history"
"When margin is below this value, product is exported with stock = 0","When margin is below this value, product is exported with stock = 0"
"Note : in hours","in hours"
"Note : this message will be used instead of tracking number","this message will be used instead of tracking number"
"Manufacturer product reference attribute name","Manufacturer product reference attribute name"
"Brand attribute name","Brand attribute name"
"EAN Attribute Code","EAN Attribute Code"
"Tracking default value","Tracking default value"
"Sales History","Sales History"

