"<b>Only available with the ""Image Optimization"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>","<b>Only available with the ""Image Optimization"" addon. Please <a href=""http://www.extendware.com/rwcore/redirect/normal/to/purchase_addon/"" target=""_blank"">purchase addon</a> to enable.</b>"
"<b>Warning:</b> You must enter a valid hostname. The hostname is the bolded part of the following URL: http://<b>www.example.com</b>/path/index.html","<b>Warning:</b> You must enter a valid hostname. The hostname is the bolded part of the following URL: http://<b>www.example.com</b>/path/index.html"
"Add after","Add after"
"Add Directory","Add Directory"
"Add Filter","Add Filter"
Advanced,Advanced
Always,Always
"An error occurred while flushing the cache","An error occurred while flushing the cache"
"An error occurred while optimizing the images.","An error occurred while optimizing the images."
"Are you sure you want to flush the image cache? Usually there is never a need to do this.","Are you sure you want to flush the image cache? Usually there is never a need to do this."
"Auto Configuration","Auto Configuration"
"Auto Configure","Auto Configure"
"Auto-configuration has been disabled in the demo. When you install the extension on your store you can use auto-configuration.","Auto-configuration has been disabled in the demo. When you install the extension on your store you can use auto-configuration."
"Auto-configuration is NOT a substitute for configuring manually. Auto-configuration can usually (but not always) pick decent settings to help you get started. After auto-configuration you should review all settings and ensure they work. Do you want to continue?","Auto-configuration is NOT a substitute for configuring manually. Auto-configuration can usually (but not always) pick decent settings to help you get started. After auto-configuration you should review all settings and ensure they work. Do you want to continue?"
"Auto-configuration will usually configure your site fairly well, but it is not perfect. Please review each configuration item and verify optimum settings have been selected.","Auto-configuration will usually configure your site fairly well, but it is not perfect. Please review each configuration item and verify optimum settings have been selected."
Automatic,Automatic
"Automatic (aggressive)","Automatic (aggressive)"
Both,Both
"Cache catalog images and add forever expirations","Cache catalog images and add forever expirations"
"Cache CSS images and add forever expirations.  <b>Note</b>: <a href=""http://www.extendware.com/magento-minify-javascript-css-html.html""><b>Minify JS / CSS</b></a> must be installed for this to work. If this is not installed you can Custom Directories top optimize css images.","Cache CSS images and add forever expirations.  <b>Note</b>: <a href=""http://www.extendware.com/magento-minify-javascript-css-html.html""><b>Minify JS / CSS</b></a> must be installed for this to work. If this is not installed you can Custom Directories top optimize css images."
"Cache skin images and add forever expirations","Cache skin images and add forever expirations"
"Cache template media images such as those found in cms pages using {{media url=""""}","Cache template media images such as those found in cms pages using {{media url=""""}"
"Catalog Image Cache","Catalog Image Cache"
"Catalog Image Optimizing","Catalog Image Optimizing"
"Catalog Images","Catalog Images"
"Closure Compiler (java)","Closure Compiler (java)"
"Closure Compiler (online)","Closure Compiler (online)"
"Command failed to run: %s","Command failed to run: %s"
Configuration,Configuration
"Configuration is already optimal according to auto-configuration. You can review the configuration manually to further optimize as auto-configuration is limited in scope.","Configuration is already optimal according to auto-configuration. You can review the configuration manually to further optimize as auto-configuration is limited in scope."
"Configuration Results","Configuration Results"
"Could not copy %s to %s","Could not copy %s to %s"
"Could not create cache directory: %s","Could not create cache directory: %s"
"Could not create directory %s","Could not create directory %s"
"Could not decode request: %s","Could not decode request: %s"
"Could not delete directory: %s","Could not delete directory: %s"
"Could not find file: %s","Could not find file: %s"
Cronjob,Cronjob
"Cronjob will optimize every few hours whereas realtime will optimize as pages are accessed. <b>Warning: </b> realtime will cause first requests to be slow until the images are cached","Cronjob will optimize every few hours whereas realtime will optimize as pages are accessed. <b>Warning: </b> realtime will cause first requests to be slow until the images are cached"
"CSS Compressor (php)","CSS Compressor (php)"
"CSS Image Cache","CSS Image Cache"
"CSS Image Optimizing","CSS Image Optimizing"
"Curl Error (%s): %s","Curl Error (%s): %s"
"Custom Directories","Custom Directories"
Delete,Delete
Developer,Developer
Directory,Directory
"Disable this to ignore the magento cron. You can run [Magento root]/shell/extendware/ewimageopt/optimize_images.php in its own cron.","Disable this to ignore the magento cron. You can run [Magento root]/shell/extendware/ewimageopt/optimize_images.php in its own cron."
"Disabling this is faster, but will require you to flush the cache if changing images.","Disabling this is faster, but will require you to flush the cache if changing images."
"Downloaded smush.it image size is wrong","Downloaded smush.it image size is wrong"
"Enter directories <u>relative to the base path</u> where images should also be optimized. For example, /media/wysiwyg/. <b>Warning: </b> This will <u>permanently</u> change images in these directories. Ensure you backup first!","Enter directories <u>relative to the base path</u> where images should also be optimized. For example, /media/wysiwyg/. <b>Warning: </b> This will <u>permanently</u> change images in these directories. Ensure you backup first!"
Extendware,Extendware
"Extendware optimized images caches (usually no need to flush).","Extendware optimized images caches (usually no need to flush)."
External,External
"Flush Image Cache","Flush Image Cache"
"Flush Optimized Image Cache","Flush Optimized Image Cache"
"Frontend Images","Frontend Images"
General,General
"GIF Optimizer","GIF Optimizer"
"Having different hostnames for different resources can speed up downloads. <u>Only change these values if you are know exactly what you are doing.</u>","Having different hostnames for different resources can speed up downloads. <u>Only change these values if you are know exactly what you are doing.</u>"
Hostnames,Hostnames
"Image Optimizer","Image Optimizer"
"Images that have been seen at least one time on the site have been optimized.","Images that have been seen at least one time on the site have been optimized."
Internal,Internal
"JPG Optimizer","JPG Optimizer"
"JSMin (php)","JSMin (php)"
"JSMinPlus (php)","JSMinPlus (php)"
"Leave blank to use the default hostname. This value must be valid or the resource will not load.","Leave blank to use the default hostname. This value must be valid or the resource will not load."
"Log Enabled","Log Enabled"
"Log image file size changes as they are optimized. Available in Extendware -> System -> Logs -> Logs in ewimageopt.log","Log image file size changes as they are optimized. Available in Extendware -> System -> Logs -> Logs in ewimageopt.log"
"Magento Cron","Magento Cron"
Main,Main
"Modified Time Check","Modified Time Check"
Never,Never
None,None
"Optimize catalog images to be faster to download, save bandwidth, etc","Optimize catalog images to be faster to download, save bandwidth, etc"
"Optimize css images to be faster to download, save bandwidth, etc","Optimize css images to be faster to download, save bandwidth, etc"
"Optimize Images","Optimize Images"
"Optimize skin images to be faster to download, save bandwidth, etc","Optimize skin images to be faster to download, save bandwidth, etc"
"Optimize template images to be faster to download, save bandwidth, etc","Optimize template images to be faster to download, save bandwidth, etc"
"Optimizer Mode","Optimizer Mode"
Page,Page
"Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs.","Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs."
"PNG Optimizer","PNG Optimizer"
