"Marketplace","Place de marché"
"Category associations", "Association des catégories"
"General", "Général"
"Feed", "Flux"
"Feed id", "Numéro de flux"
"Orders", "Commandes"
"No error","Pas d'erreur"
"Get orders from marketplace","Récupération des commandes depuis le marketplace"
"Order already imported","Commande déjà importée"
"Invalid product","Produit non référencé"
"Update marketplace stock","Mise à jour du stock sur le marketplace"
"Get orders from %s","Récupération des commandes provenant de  %s"
"Orders from %s have been imported in Magento","Les commandes provenant de %s ont bien été importées"
"Stocks have been exported","Les stocks ont été exportés"
"Order n° %s already exists","La commande n° %s existe déjà"
"Order n° %s has been successfully imported","La commande n° %s a été importé avec succès"
"An error occured during order importation  (order n° %s)","Une erreur est survenue lors de l'impotation de la commande n° %s"
"Exported file has been saved in %s","Le fichier d'export a été sauvegardé dans le répertoire %s"
"Can't open file %s","Impossible d'ouvrir le fichier %s"
"Unable to open order file using %s webservice","Erreur lors de la récupération des commandes via le service web de %s"
"Import %s sales order","Imporatation des commandes issues de %s"
"Marketplace - %s","Marketplace - %s"
"File","Fichier"
"Products to export","Produits à exporter"
"Export %s tracking numbers","Export des numéros de tracking %s"
"Save","Sauvegarde"
"Logs","Logs"
"Website name", "Nom du site"
"Website description", "Description du site"
"Default shipment method", "Méthode de livraison par défaut"
"Default delay", "Délay d'expédition par défaut"
"Taxes", "TVA"
"Margin warning level", "Seuil limite de la marge"
"Email bug report", "Email de notification des erreurs"
"EAN Attribute Code", "EAN Attribute Code"
"Default payment method", "Méthode de paiement par défaut"
"Default Store ID", "Store ID par défaut"
"Default Currency", "Devise"
"Debug mode", "Activer le mode débug"
"Category depth for associations", "Niveau d'association des catégories"
"Root category", "Catégorie racine"
"Max product updated each time", "Nombre maximum de produits mis à jour"
"Generate invoice when a new order is imported", "Générer la facture lors de l'importation d'une commande"
"Max", "Max"
"Manufacturer attribute name", "Nom de l'attribut du fabriquant"
"Products to export", "produits à exporter"
"Required Fields", "Champs requis"
"PRODUCT CREATION", "CREATION DE PRODUIT"
"Check product creation (CRON)", "Vérification (CRON)"
"Request listing products", "Lister les produits créés"
"Show listing products", "Montrer le listing"
"PRODUCT UPDATE", "MISE A JOUR DES PRODUITS"
"Export stock & price (CRON)", "Mise à jour stock/prix (CRON)"
"Get inventory feed", "Construction du flux de stock"
"Send inventory feed", "Envoi du fichier de stock"
"Get price feed", "Construction du fichier de prix"
"Send price feed", "Envoi du fichier de prix"
"Get image feed", "Construction du fichier image"
"Send image feed", "Envoi du fichier image"
"MANAGE ORDERS", "GESTION DES COMMANDES"
"Import orders (CRON)", "Import des commandes (CRON)"
"MANAGE TRACKINGS", "NUMEROS DE SUIVIS"
"Send Tracking (CRON)", "Envoi du fichier (CRON)"
"Get Shipping confirmation feed", "Construction du fichier"
"Send Tracking", "Envoi du fichier"
"Request Actionable order data", "Commandes en attente de livraison"
"MANAGE REPORT", "GESTION DES RAPPORTS"
"Get it !", "Envoyer"
"Check product creation (CRON)", "Vérification (CRON)"
"Generate stock file", "Génération du fichier de stock"
"Update stock", "Mise à jour des stocks"
"Generate media file", "Génération du fichier media"
"Update media", "Mise à jour des images"
"Request checked orders", "Commandes validées"
"Get orders to update", "Commandes en attente de livraison"
"Build tracking file", "Construction du fichier"
"Send tracking", "Envoi des numéros de suivis"
"Export", "Exporter"
"Download file", "Télécharger le fichier"
"Category associations", "Associations des catégories"
"Not associated", "Non associée"
"Associated", "Associé"
"Statistics", "Statistiques"
"Orders", "Commandes"
"Revenue", "Revenu"
"Tax", "TVA"
"Shipping", "Livraison"
"Quantity", "Quantité"
"Note : set empty for disable this feature", "Note : Laisser vide pour désactiver la fonctionnalité"
"Main Category", "Catégorie principale"
"Sub categories", "Sous-catégories"
"Required Fields : %s", "Champs requis : %s"
"Restricted values", "Valeurs acceptées"
"Category", "Catégorie"
"Attribute", "Attribut"
"Field", "Champs"
"Debug", "Débogage"
"Delete", "supprimer"
"notCreated", "Non créé"
"pending", "Validation"
"created", "Créé"
"Add to marketplace", "Ajouter sur le marketplace"
"Set as not created", "Changer le statut : non créé"
"Set as pending", "Changer le statut : validation"
"Set as created", "Changer le statut : créé"
"Download", "Télécharger"
"unavailable", "Indisponible"
"Content", "Contenu"
"Response", "Réponse"
"Status", "Statut"
"Feeds", "Flux"
"Delay", "Délais"
"Force Qty", "Forcer la qté"
"Product", "Produit"
"Manufacturer", "Fabriquant"
"Visibility", "Visibilité"
"Enabled", "Activé"
"Exclude ?", "Exclure ?"
"Create export file","Création du fichier d'export"
"Price excl tax","Prix HT"
"Manual import","Import manuel"
"Update stock and price","Mise à jour stock & prix"
"Update image","Mise à jour du fichier image"
"Execution time","Temps d'exécution"
"No product to export","Pas de produits à exporter"
"Get feed submission result","Récupérer le résultat du flux"
"Update stock & price","Mise à jour stock & prix"
"Enable CRON export","Activer les exports automatiques"
"Price coefficient","Coefficent à appliquer aux prix"
"Margin min","Marge minimale"
"Display feed history","Afficher l'historique des flux"
"When margin is below this value, product is exported with stock = 0","Lorsque la marge est inférieure à cette valeur, le produit est exporté avec un stock à zéro"
"Note : in hours","nombre d'heures"
"Note : this message will be used instead of tracking number","Ce message sera utilisé comme tracking par défaut"
"Manufacturer product reference attribute name","Attribut référence fournisseur"
"Brand attribute name","Attribut marque"
"EAN Attribute Code","Attribut code EAN"
"Tracking default value","Tracking par défaut"
"Sales History","Historique des ventes"
"Accounts","Comptes"
"Marketplace Configuration","Configuration Générale"
"Barcode attribute","Attribut code barre"
"Manufacturer attribute","Attribut fabricant"
"Brand attribute","Attribut marque"
"Category depth for association","Profondeur des catégories à associer"
"Generate invoices","Facturer automatiquement les commandes"
"Display tool tab","Afficher l'onglet outil / debug"
"Display stack trace in error messages","Afficher la stack trace des erreurs"
"Prune feeds","Purger les flux"
"Product creation is not enable  for %s","La création de produits n'est pas active pour %s"
