Article number|EAN (European article number)|Manufacturers code / number|Manufacturer|Product Name|Description|Product Group|Price EUR|Delivery status|Product URL|Picture URL|Shipping
406871491||Q7492A|HP|HP Color LaserJet 4700N - Q7492A|Professionelle Geschäftsdokumente in Farbe: Der vom Fachmann aufbereitete & gebrauchte HP Color LaserJet 4700N bietet Ihnen exzellente Farblaser-Druckqualität ohne Kompromisse mit einer Druckgeschwindigkeit von bis zu 30 S./Min. in Farbe und Schwarzweiß. Die ausgezeichnete Druckqualität des HP Color LaserJet 4700N wird durch den neuen HP ColorSphere Toner gewährleistet, der leuchtende und lebhafte Farben ermöglicht. Die verbesserte ImageREt 3600 Technologie sorgt beim Color LaserJet 4700N für einen verstärkten Farbkontrast, realistischere Bilder und eine ausgezeichnete Druckqualität, sodass Ihre Dokumente noch mehr Eindruck hinterlassen. Erstellen Sie mit dem HP Color LaserJet 4700N Farbausdrucke in gleichmäßig guter Qualität dank intelligenter und praktischer Kalibrierfunktionen.|Druckerhaus24 > Laserdrucker|499.00|3-4 Tage|https://www.druckerhaus24.de/hp-color-laserjet-4700n-netzwerk-farblaser-q7492a|https://www.druckerhaus24.de/media/catalog/product/4/0/406871491_953968.jpg|35.00
416188441||C8052A|HP|HP LaserJet 4100DTN  (C8052A)|Der intelligente HP LaserJet für die Arbeitsgruppe: Der vom Fachmann aufbereitete & gebrauchte HP LaserJet 4100DTN überzeugt mit sehr schnellem Laserdruck und Kopieren mit bis zu 24 Seiten pro Minute und erfüllt die komplexen Druckanforderungen ihres Teams. Der HP LaserJet 4100DTN ist spezifiziert für ein monatliches Druckvolumen von bis zu 150.000 Seiten. Der integrierte Webserver des HP LaserJet 4100DTN ermöglicht es Administratoren und Benutzern, über einen Standard-Webbrowser mit dem Drucker zu kommunizieren. Das neue HP Smart Print Supplies System des LaserJet 4100DTN erfasst sämtliche Verbrauchsdaten und ermöglicht so die Fernabfrage von Tonerstand und Papiervorrat und auf Wunsch die Nachbestellung von Verbrauchsmaterialien über das Internet. Eine neuartige „schüttelfreie“ Druckkassette sorgt beim HP LaserJet 4100DTN für konstant hochwertige Ergebnisse während der gesamten Lebensdauer.|Druckerhaus24 > Laserdrucker|249.00|3-4 Tage|https://www.druckerhaus24.de/hp-laserjet-4100dtn-c8052a|https://www.druckerhaus24.de/media/catalog/product/2/0/206190.jpg|35.00
416227621||C9148A|HP|HP Laserjet 4100 MFP - C9148A|Ausgereifte Druckermanagement-Funktionen: Der top runderneuerte & gebrauchte HP Laserjet 4100 MFP ist der Leistungsstandard für die komplexen Druckanforderungen in Arbeitsgruppen. Der HP Laserjet 4100 MFP überzeugt mit hochwertigen Dokumenten in echten 1200 x 1200 dpi bei einer Ausgabegeschwindigkeit von 24 S./Min. ohne Leistungseinbußen. Der 250-MHz-Prozessor, der 64 MB Standard-RAM (RAM auf 256 MB erweiterbar) und die 10 GB EIO-Festplatte sorgen selbst bei komplexen Dokumenten beim HP Laserjet 4100 MFP für eine schnelle Druckausgabe und Rückkehr zur Anwendung. Der HP LaserJet 4100 MFP ist spezifiziert für ein monatliches Druckvolumen von bis zu 150.000 Seiten und hat zudem vielfältige Papierhandhabungsmöglichkeiten mit einer Gesamtkapazität von maximal 1600 Blatt. Der intelligente HP LaserJet 4100MFP erleichtert Arbeitsgruppen die Arbeit, ist E-Service-fähig und vorbildlich erweiterbar.|Druckerhaus24 > Multifunktionsgeräte|299.00|3-4 Tage|https://www.druckerhaus24.de/hp-laserjet-4100-mfp-c9148a|https://www.druckerhaus24.de/media/catalog/product/4/1/416227621_712867.jpg|35.00
416227941||Q5403A|HP|HP Laserjet 4250DTN - Q5403A|Außergewöhnliche Leistung für Ihr Team: Der vom Fachmann runderneuerte und gebrauchte HP LaserJet 4250DTN bietet Ihrem Office eine höhere Effizienz, denn mit dem leistungsstarken 460-MHz-Prozessor werden komplexe Dokumente schneller gedruckt und Sie kehren schneller zurück zur Anwendung. Der netzwerkfähige LaserJet 4250DTN Duplexer mit einer extra Papierzuführung liefert ihnen zudem eine konstante, professionelle Ausgabequalität mit echten 1.200 dpi bei voller Geschwindigkeit im Präsentationsmodus. Mit einer Druckgeschwindigkeit von bis zu 43 S./Min. haben Sie mit dem HP LaserJet 4250DTN eine ansprechend starke Druckleistung und erhöhen so die Produktivität Ihrer Arbeitsgruppe.|Druckerhaus24 > Laserdrucker|249.00|3-4 Tage|https://www.druckerhaus24.de/hp-laserjet-4250dtn-q5403a|https://www.druckerhaus24.de/media/catalog/product/3/7/371924.jpg|35.00
416228491||Q5409A|HP|HP LaserJet 4350DTN, A4 Laserdrucker, Duplex, LAN, Zusatzpapierfach (Q5409A)|Produktivitätssteigerung für Ihr Team: Der erstklassig aufbereitete & gebrauchte HP LaserJet 4350DTN mit einer breiten Palette von Erweiterungsoptionen lässt sich problemlos an unterschiedliche Anforderungen anpassen. Die Standardspeicherkapazität von 80 MB RAM lässt sich beim LaserJet 4350DTN auf bis zu 512 MB erweitern. Die Duplexfähigkeit, Netzwerkanbindung, sowie ein weiteres Papierfach beim HP LaserJet 4350DTN heben die Grenzen Ihrer Produktivität auf. Die einzigartige Instant-on-Technologie der Fixierereinheit ermöglicht eine in der Branche führende Ausgabe der ersten Seite bereits nach weniger als 8 Sekunden beim HP LaserJet 4350DTN aus dem Kalt- oder Warmstart. Es ist praktisch keine Zeit zum Aufwärmen mehr erforderlich, und der 4350DTN kehrt sofort nach dem Druckvorgang in den Energiesparmodus zurück, was Ihr Budget weiter schont.|Druckerhaus24 > Laserdrucker|399.00|3-4 Tage|https://www.druckerhaus24.de/hp-laserjet-4350-dtn-a4-laserdrucker-duplex-lan-zusatzpapierfach-q5409a|https://www.druckerhaus24.de/media/catalog/product/1/3/131553.jpg|35.00
449044256||255-0358|Dell|Dell 5100CN - 255-0358|Der Dell Laserdrucker 5100CN ist ein robuster Farblaserdrucker mit standardmäßiger Netzwerk- und Duplexdruckfunktion, der im Hinblick auf Anschaffungs- und Betriebskosten ein hervorragendes Preis-Leistungs-Verhältnis für kleine wie große Unternehmen bietet. Der auf hohes Druckvolumen ausgelegte 5100CN bietet eine Druckgeschwindigkeit von bis zu 35 Seiten (Schwarzweiß) oder 25 Seiten (Farbe) pro Minute sowie eine monatliche Druckkapazität von 90.000 Seiten und eine Einzugskapazität von 2150 Blatt.|Druckerhaus24 > Laserdrucker|299.00|3-4 Tage|https://www.druckerhaus24.de/dell-5100cn-255-0358|https://www.druckerhaus24.de/media/catalog/product/4/4/449044256_178186.jpg|35.00
652032210||CB415A|HP|HP LaserJet M3035XS MFP - CB415A|Anwenderfreundlich und flexibel: Der von Ihrem Fachmann aufbereitete & gebrauchte HP LaserJet M3035XS MFP ist ein äußerst zuverlässiger HP LaserJet Schwarzweiß-MFP und ideal für kleine Teams von bis zu 8 Benutzern in Unternehmensumgebungen, die mit diesem bedienerfreundlichen Gerät die unterschiedlichsten Routinearbeiten erledigen können. Mit dem neuen, verbesserten Bedienfeld des HP LaserJet M3035XS MFP, dass Sie intuitiv durch jeden Prozess führt, können Sie das Gerät auf sehr einfache Weise verwenden, verwalten und warten. Die interaktive HP Smart Printing Technology in den Druckkassetten und im HP LaserJet M3035XS MFP Display verbessert die Druckqualität und Zuverlässigkeit. Genießen Sie die beste Netzwerkeinbindung in seiner Klasse beim HP LaserJet M3035XS mit dem internen HPJetdirect Printserver, der eine schnelle und zuverlässige Datenübertragung ermöglicht. HP Web Jetadmin ermöglicht die Installation, Konfiguration und das vorausschauende Management des HP LaserJet M3035XS über das Firmennetz.|Druckerhaus24 > Multifunktionsgeräte|349.00|3-4 Tage|https://www.druckerhaus24.de/hp-laserjet-m3035xs-mfp-cb415a|https://www.druckerhaus24.de/media/catalog/product/6/5/652032210_974145.jpg|35.00
656801280||Q7493A|HP|HP Color LaserJet 4700DN Netzwerk Farblaser mit Duplex-Druck (Q7493A)|Leistungsstärke und Produktivität: Der professionell aufbereitete & gebrauchte HP Color LaserJet 4700DN verwaltet Arbeitsgruppen mit einem hohen Druckaufkommen in kleinen und mittleren Unternehmen, die einen leistungsstarken Farbdrucker in DIN A4 für die Erstellung ihrer professionellen Geschäftsunterlagen benötigen. Der HP Color LaserJet 4700DN bietet professionelle Druckqualität bei gleichzeitig hohen Druckgeschwindigkeiten für leuchtende Farbdokumente, Bilder und gestochen scharfen Text. Die ausgezeichnete Druckqualität beim HP Color LaserJet 4700DN wird durch den neuen HP ColorSphere Toner gewährleistet, der leuchtende und lebhafte Farben ermöglicht. Der HP Color LaserJet 4700DN garantiert eine schnelle Bearbeitung verschiedenster Dokumente dank Druckgeschwindigkeiten von bis zu 30 S./Min. in Farbe und Schwarzweiß, automatisch beidseitigem Druck bei voller Geschwindigkeit und Ausgabe der ersten Seite in weniger als 10 Sekunden über die HP Instant-on-Technologie der Fixierereinheit - praktisch ohne Aufwärmzeit.|Druckerhaus24 > Laserdrucker|599.00|3-4 Tage|https://www.druckerhaus24.de/hp-color-laserjet-4700dn-netzwerk-farblaser-mit-duplex-druck-q7493a|https://www.druckerhaus24.de/media/catalog/product/6/5/656801280_681673.jpg|35.00
657719400||Q7494A|HP|HP Color LaserJet 4700DTN - Q7494A|Überlegene Leistung und Zuverlässigkeit: Der vom Fachmann runderneuerte & gebrauchte HP Color LaserJet 4700DTN ist für anspruchsvolle Arbeitsgruppen die beste Wahl. Der HP Color LaserJet 4700DTN bietet eine schnelle Bearbeitung verschiedenster Dokumente dank Druckgeschwindigkeiten von bis zu 30 S./Min. in Farbe und Schwarzweiß. Automatisch, beidseitigem Druck bei voller Geschwindigkeit und Ausgabe der ersten Seite in weniger als 10 Sekunden über die HP Instant-on-Technologie der Fixierereinheit - praktisch ohne Aufwärmzeit. Der zuverlässige Color LaserJet 4700DTN wurde so konzipiert, dass mehrere Anwender den Drucker gemeinsam nutzen und größere Papiervolumen mit dem erweiterbaren Speicher (bis 544 MB) und dem soliden Druckwerk bewältigt werden können.|Druckerhaus24 > Laserdrucker|599.00|3-4 Tage|https://www.druckerhaus24.de/hp-color-laserjet-4700dtn-q7494a|https://www.druckerhaus24.de/media/catalog/product/6/5/657719400_322358.jpg|35.00
658039350||CB414A|HP|HP LaserJet M3035 MFP - CB414A|Erhöhen Sie Ihre Effizienz: Der professionell aufbereitete & gebrauchte HP LaserJet M3035 MFP ist ideal für kleine Teams von bis zu 8 Benutzern in  Unternehmensumgebungen, die mit diesem bedienerfreundlichen Gerät die unterschiedlichsten Routinearbeiten erledigen möchten. Mit dem HP LaserJet M3035 MFP erledigen Sie mehr Arbeit mit konsolidierten Funktionen zum Drucken, Kopieren, Senden an E-Mail-Adressen und analogen optionalem Faxen. Drucken und kopieren Sie beim HP LaserJet M3035 MFP mit einer Geschwindigkeit von bis zu 33 S./Min. und ohne Wartezeiten, da die Instant-on-Technologie von HP das schnelle Drucken der ersten Seite sicherstellt. Mit dem HP LaserJet M3035 MFP integrieren Sie Dokumente in Workflows mit den eingebetteten Funktionen zum Senden an E-Mail-Adressen und Netzwerkordnern. Kopieren und scannen Sie beidseitig bedruckte Originale mit der automatischen Dokumentenzuführung des HP LaserJet M3035 MFP für 50 Blatt mit Wendeeinrichtung und sparen Sie Papier mit automatischem beidseitigen Druck.|Druckerhaus24 > Multifunktionsgeräte|499.00|3-4 Tage|https://www.druckerhaus24.de/hp-laserjet-m3035-mfp-cb414a|https://www.druckerhaus24.de/media/catalog/product/6/5/658039350_341531.jpg|35.00
