Code;Niveau 1;Niveau 2;Niveau 3;Niveau 4;
05030101;ANIMALERIE;ALIMENTATION ANIMAUX;BOISSON;BOISSON;
05030201;ANIMALERIE;ALIMENTATION ANIMAUX;FRIANDISE;FRIANDISE;
05030301;ANIMALERIE;ALIMENTATION ANIMAUX;GAMELLE-DISTRIBUTEUR;GAMELLE-DISTRIBUTEUR;
05030501;ANIMALERIE;ALIMENTATION ANIMAUX;MANGEOIRE PETITS ANIMAUX;MANGEOIRE PETITS ANIMAUX;
05030401;ANIMALERIE;ALIMENTATION ANIMAUX;REPAS;REPAS;
05050101;ANIMALERIE;HABITATION;AMENAGEMENT HABITAT ANIMAL;AMENAGEMENT HABITAT ANIMAL;
05050201;ANIMALERIE;HABITATION;AQUARIUM-BASSIN;AQUARIUM-BASSIN;
05050301;ANIMALERIE;HABITATION;CAGE;CAGE;
05050401;ANIMALERIE;HABITATION;CHATIERE-TRAPPE;CHATIERE-TRAPPE;
05050501;ANIMALERIE;HABITATION;CHAUFFAGE;CHAUFFAGE;
05050F01;ANIMALERIE;HABITATION;CLAPIER;CLAPIER;
05050601;ANIMALERIE;HABITATION;ECLAIRAGE;ECLAIRAGE;
05050701;ANIMALERIE;HABITATION;ENTRETIEN HABITAT ANIMAL;ENTRETIEN HABITAT ANIMAL;
05050801;ANIMALERIE;HABITATION;FILTRAGE EAU;FILTRAGE EAU;
05050E01;ANIMALERIE;HABITATION;HABITAT INSECTES ;HABITAT INSECTES ;
05050901;ANIMALERIE;HABITATION;MANIPULATION;MANIPULATION;
05050A01;ANIMALERIE;HABITATION;NICHE-PANIER-COUSSIN;NICHE-PANIER-COUSSIN;
05050B01;ANIMALERIE;HABITATION;PARAMETRAGE EAU;PARAMETRAGE EAU;
05050G01;ANIMALERIE;HABITATION;POULAILLER;POULAILLER;
05050C01;ANIMALERIE;HABITATION;TRAITEMENT AIR;TRAITEMENT AIR;
05050D01;ANIMALERIE;HABITATION;VIVARIUM-TERRARIUM;VIVARIUM-TERRARIUM;
05040101;ANIMALERIE;JOUET;JOUET-PELUCHE;JOUET-PELUCHE;
05040301;ANIMALERIE;JOUET;MATERIEL AGILITY;MATERIEL AGILITY;
05040201;ANIMALERIE;JOUET;TAPIS-AIRE DE JEU;TAPIS-AIRE DE JEU;
05090401;ANIMALERIE;MATERIEL DE TRANSPORT ET RANGEMENT;ARMOIRE - RANGEMENT;ARMOIRE - RANGEMENT;
05090101;ANIMALERIE;MATERIEL DE TRANSPORT ET RANGEMENT;CAISSE - PANIER DE TRANSPORT;CAISSE - PANIER DE TRANSPORT;
05090501;ANIMALERIE;MATERIEL DE TRANSPORT ET RANGEMENT;POUSSETTE POUR ANIMAUX ;POUSSETTE POUR ANIMAUX ;
05090201;ANIMALERIE;MATERIEL DE TRANSPORT ET RANGEMENT;SAC DE TRANSPORT;SAC DE TRANSPORT;
05090301;ANIMALERIE;MATERIEL DE TRANSPORT ET RANGEMENT;TAPIS DE TRANSPORT;TAPIS DE TRANSPORT;
05010A01;ANIMALERIE;MATERIEL EDUCATION;BARRIERE DE SECURITE ESCALIER - PORTE;BARRIERE DE SECURITE ESCALIER - PORTE;
05010101;ANIMALERIE;MATERIEL EDUCATION;CHASSE - PISTAGE - REPERAGE;CHASSE - PISTAGE - REPERAGE;
05010201;ANIMALERIE;MATERIEL EDUCATION;COLLIER - BARRIERE DE DRESSAGE;COLLIER - BARRIERE DE DRESSAGE;
05010301;ANIMALERIE;MATERIEL EDUCATION;DRESSAGE COMPORTEMENTAL;DRESSAGE COMPORTEMENTAL;
05010401;ANIMALERIE;MATERIEL EDUCATION;EDUCATION A LA PROPRETE;EDUCATION A LA PROPRETE;
05010501;ANIMALERIE;MATERIEL EDUCATION;GILET DE SAUVETAGE;GILET DE SAUVETAGE;
05010601;ANIMALERIE;MATERIEL EDUCATION;LAISSE-COLLIER-HARNAIS;LAISSE-COLLIER-HARNAIS;
05010701;ANIMALERIE;MATERIEL EDUCATION;PIQUET D ATTACHE;PIQUET D ATTACHE;
05010801;ANIMALERIE;MATERIEL EDUCATION;PROTECTION DRESSEUR;PROTECTION DRESSEUR;
05010901;ANIMALERIE;MATERIEL EDUCATION;REPULSIF-ATTRACTIF;REPULSIF-ATTRACTIF;
05070101;ANIMALERIE;MATERIEL EXPOSITION;CRAIE;CRAIE;
05070201;ANIMALERIE;MATERIEL EXPOSITION;TENTE DE PRESENTATION;TENTE DE PRESENTATION;
05070301;ANIMALERIE;MATERIEL EXPOSITION;TOISE;TOISE;
05020101;ANIMALERIE;SIGNALETIQUE ANIMAUX;PLAQUE DE GARDE;PLAQUE DE GARDE;
05020201;ANIMALERIE;SIGNALETIQUE ANIMAUX;SIGNALETIQUE AUTO;SIGNALETIQUE AUTO;
05060101;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;ANTIPARASITAIRES;ANTIPARASITAIRES;
05060201;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;BROSSE-GRATTOIR-PEIGNE;BROSSE-GRATTOIR-PEIGNE;
05060301;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;CISEAUX-COUPE NOEUD;CISEAUX-COUPE NOEUD;
05060401;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;COMPLEMENTS ALIMENTAIRES ANIMAUX;COMPLEMENTS ALIMENTAIRES ANIMAUX;
05060501;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;DESODORISANT - DESINFECTANT ;DESODORISANT - DESINFECTANT ;
05060601;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;FILET DE TOILETTAGE;FILET DE TOILETTAGE;
05060I01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;KIT TOILETTAGE - HYGIENE ;KIT TOILETTAGE - HYGIENE ;
05060701;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;MATERIEL PARAMEDICAL;MATERIEL PARAMEDICAL;
05060801;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;MATERNAGE;MATERNAGE;
05060901;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;PRODUIT DE SOIN;PRODUIT DE SOIN;
05060H01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;RAMASSE DEJECTIONS - SACS DE PROPRETE;RAMASSE DEJECTIONS - SACS DE PROPRETE;
05060A01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;RANGEMENT TOILETTAGE;RANGEMENT TOILETTAGE;
05060B01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;REPRODUCTION;REPRODUCTION;
05060C01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;SANITAIRE ANIMAL;SANITAIRE ANIMAL;
05060D01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;SECHOIR-PULSEUR;SECHOIR-PULSEUR;
05060E01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;SHAMPOING;SHAMPOING;
05060F01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;TABLE DE TOILETTAGE;TABLE DE TOILETTAGE;
05060G01;ANIMALERIE;TOILETTAGE - HYGIENE - SOIN;TONDEUSE;TONDEUSE;
05080101;ANIMALERIE;VETEMENT ANIMAUX;CASQUETTE - BANDANA - CRAVATE;CASQUETTE - BANDANA - CRAVATE;
05080201;ANIMALERIE;VETEMENT ANIMAUX;CHAUSSURE - CHAUSSETTE;CHAUSSURE - CHAUSSETTE;
05080301;ANIMALERIE;VETEMENT ANIMAUX;CULOTTE - PANTALON - PYJAMA;CULOTTE - PANTALON - PYJAMA;
05080401;ANIMALERIE;VETEMENT ANIMAUX;LUNETTES;LUNETTES;
05080501;ANIMALERIE;VETEMENT ANIMAUX;MANTEAU - GILET;MANTEAU - GILET;
05080601;ANIMALERIE;VETEMENT ANIMAUX;N?UDS - BARRETTES - ELASTIQUES;N?UDS - BARRETTES - ELASTIQUES;
05080701;ANIMALERIE;VETEMENT ANIMAUX;PULL - COSTUME;PULL - COSTUME;
05080801;ANIMALERIE;VETEMENT ANIMAUX;ROBE - JUPE;ROBE - JUPE;
0E010901;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;BOCAUX DE CONSERVATION ;BOCAUX DE CONSERVATION ;
0E010101;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;BOITES DE CONSERVATION - BACS ALIMENTAIRES ;BOITES DE CONSERVATION - BACS ALIMENTAIRES ;
0E010801;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;BOUTEILLE ISOTHERME - BOUTEILLE ISOLANTE;BOUTEILLE ISOTHERME - BOUTEILLE ISOLANTE;
0E010201;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;COMPTEUR DE JOUR ;COMPTEUR DE JOUR ;
0E010301;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;COUVERCLE UNIVERSEL - COUVERCLE ETIRABLE;COUVERCLE UNIVERSEL - COUVERCLE ETIRABLE;
0E010401;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;ETIQUETTE ALIMENTAIRE;ETIQUETTE ALIMENTAIRE;
0E010501;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;FILM ALIMENTAIRE - ALUMINIUM - PARAFFINE;FILM ALIMENTAIRE - ALUMINIUM - PARAFFINE;
0E010A01;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;GLACIERE - SAC ISOTHERME - ACCUMULATEUR DE FROID;GLACIERE - SAC ISOTHERME - ACCUMULATEUR DE FROID;
0E010601;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;SAC DE CONSERVATION - PINCE FERME SACHET - CLIP;SAC DE CONSERVATION - PINCE FERME SACHET - CLIP;
0E010701;ART DE LA TABLE - ARTICLES CULINAIRES;CONSERVATION DES ALIMENTS;SYSTEME DE MISE SOUS VIDE;SYSTEME DE MISE SOUS VIDE;
0E020I01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;AUTOCUISEUR - CUISEUR A RIZ;AUTOCUISEUR - CUISEUR A RIZ;
0E020101;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;BAIN-MARIE;BAIN-MARIE;
0E020201;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;BASSINE A CONFITURE - BASSINE A RAGOUT;BASSINE A CONFITURE - BASSINE A RAGOUT;
0E020301;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;BATTERIE DE CUISINE ;BATTERIE DE CUISINE ;
0E020401;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;BROCHE - BROCHETTE;BROCHE - BROCHETTE;
0E020601;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;CASSEROLE - FAITOUT - MARMITE ;CASSEROLE - FAITOUT - MARMITE ;
0E020501;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;CASSOLETTE - POELON - CAQUELON;CASSOLETTE - POELON - CAQUELON;
0E020701;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;COCOTTE - DIABLE - TERRINE;COCOTTE - DIABLE - TERRINE;
0E020801;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;COUVERCLE VENDU SEUL;COUVERCLE VENDU SEUL;
0E020901;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;CUIT OEUF - POCHE OEUF;CUIT OEUF - POCHE OEUF;
0E020A01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;FEUILLE DE CUISSON - TAPIS DE FOUR - TOILE DE CUISSON;FEUILLE DE CUISSON - TAPIS DE FOUR - TOILE DE CUISSON;
0E020J01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;GRILL - CREPIERE;GRILL - CREPIERE;
0E020C01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;GRILLE ANTI-PROJECTION - CLOCHE MICRO-ONDE;GRILLE ANTI-PROJECTION - CLOCHE MICRO-ONDE;
0E020D01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;PANIER DE CUISSON - FILET DE CUISSON - PAPILLOTE;PANIER DE CUISSON - FILET DE CUISSON - PAPILLOTE;
0E020B01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;PLAQUE A FOUR - GRILLE POUR FOUR ;PLAQUE A FOUR - GRILLE POUR FOUR ;
0E020E01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;PLAT POUR FOUR ;PLAT POUR FOUR ;
0E020F01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;POELE - SAUTEUSE - MANCHE DE POELE;POELE - SAUTEUSE - MANCHE DE POELE;
0E020G01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;SAC DE CUISSON - SAC VAPEUR;SAC DE CUISSON - SAC VAPEUR;
0E020H01;ART DE LA TABLE - ARTICLES CULINAIRES;CUISSON DES ALIMENTS;TAJINE - WOK - COUSCOUSSIER ;TAJINE - WOK - COUSCOUSSIER ;
0E030101;ART DE LA TABLE - ARTICLES CULINAIRES;DECOUPE DES ALIMENTS;AIGUISEUR - AFFUTEUR - ACCESSOIRE AFFUTAGE;AIGUISEUR - AFFUTEUR - ACCESSOIRE AFFUTAGE;
0E030201;ART DE LA TABLE - ARTICLES CULINAIRES;DECOUPE DES ALIMENTS;CISEAUX DE CUISINE - PINCE A VOLAILLE - SECATEUR;CISEAUX DE CUISINE - PINCE A VOLAILLE - SECATEUR;
0E030401;ART DE LA TABLE - ARTICLES CULINAIRES;DECOUPE DES ALIMENTS;COUPE FOIE GRAS - COUPE TERRRINE - FIL A BEURRE;COUPE FOIE GRAS - COUPE TERRRINE - FIL A BEURRE;
0E030301;ART DE LA TABLE - ARTICLES CULINAIRES;DECOUPE DES ALIMENTS;COUTEAU DE CUISINE - FEUILLE - COUPERET - FENDOIR;COUTEAU DE CUISINE - FEUILLE - COUPERET - FENDOIR;
0E030501;ART DE LA TABLE - ARTICLES CULINAIRES;DECOUPE DES ALIMENTS;ENSEMBLE DE DECOUPE ;ENSEMBLE DE DECOUPE ;
